INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,GMRAIRPORT,27/01/2026,00000103.39,00000103.39,00000101.60,00000102.75,000000138342150,     5551447070.25,         54188775,             7769,             5941
FUTSTK    ,GMRAIRPORT,24/02/2026,00000103.50,00000103.62,00000102.35,00000103.29,000000002838825,       97756089.75,           948600,              136,              122
FUTSTK    ,GODREJCP  ,30/12/2025,00001209.10,00001209.10,00001197.00,00001205.00,000000001841000,     2430102550.00,          2018500,             4037,             3642
FUTSTK    ,GODREJCP  ,27/01/2026,00001220.00,00001220.00,00001205.00,00001212.90,000000008674000,     2989999950.00,          2467500,             4935,             4505
FUTSTK    ,GODREJCP  ,24/02/2026,00001218.00,00001218.00,00001210.80,00001217.10,000000000026500,        7902250.00,             6500,              013,              013
FUTSTK    ,GODREJPROP,30/12/2025,00002013.80,00002015.80,00001989.60,00001996.40,000000003230425,     4191963215.00,          2092475,             7609,             6914
FUTSTK    ,GODREJPROP,27/01/2026,00002027.40,00002028.80,00002002.10,00002008.60,000000007183825,     4129030455.00,          2048200,             7448,             6822
FUTSTK    ,GODREJPROP,24/02/2026,00002030.10,00002042.00,00002019.90,00002022.80,000000000102025,       75316532.50,            37125,              135,              129
FUTSTK    ,GRASIM    ,30/12/2025,00002819.60,00002845.50,00002812.70,00002838.80,000000004146250,     9255816375.00,          3269750,            13079,             8480
FUTSTK    ,GRASIM    ,27/01/2026,00002841.10,00002864.70,00002800.10,00002858.00,000000013381000,     9734158625.00,          3415750,            13663,             8778
FUTSTK    ,GRASIM    ,24/02/2026,00002859.20,00002880.00,00002855.00,00002876.20,000000000024250,       27256325.00,             9500,              038,              035
FUTSTK    ,LAURUSLABS,30/12/2025,00001081.00,00001089.60,00001077.50,00001082.20,000000004985250,     4575599980.00,          4227050,             4973,             2972
FUTSTK    ,LAURUSLABS,27/01/2026,00001094.00,00001096.80,00001084.50,00001089.00,000000012771250,     4799965130.00,          4405550,             5183,             3205
FUTSTK    ,LAURUSLABS,24/02/2026,00001093.40,00001101.60,00001091.50,00001095.80,000000000366350,      192908095.00,           175950,              207,              172
FUTSTK    ,LICHSGFIN ,30/12/2025,00000537.30,00000539.85,00000534.50,00000538.05,000000017919000,     5211637450.00,          9715000,             9715,             5327
FUTSTK    ,LICHSGFIN ,27/01/2026,00000540.50,00000542.85,00000537.55,00000541.45,000000025939000,     5128316250.00,          9500000,             9500,             5172
FUTSTK    ,LICHSGFIN ,24/02/2026,00000544.40,00000546.00,00000541.00,00000544.45,000000000489000,      165309550.00,           304000,              304,              265
FUTSTK    ,LICI      ,30/12/2025,00000849.75,00000854.00,00000838.95,00000841.45,000000004344200,     2836457610.00,          3354400,             4792,             4164
FUTSTK    ,LICI      ,27/01/2026,00000852.00,00000859.25,00000845.00,00000846.90,000000007472500,     2918049855.00,          3430000,             4900,             4132
FUTSTK    ,LICI      ,24/02/2026,00000861.90,00000862.10,00000850.00,00000851.00,000000000513100,      110113150.00,           128800,              184,              173
FUTSTK    ,LODHA     ,30/12/2025,00001074.20,00001082.90,00001061.80,00001065.90,000000003670650,     2922082020.00,          2731950,             6071,             4712
FUTSTK    ,LODHA     ,27/01/2026,00001081.70,00001090.00,00001069.00,00001072.70,000000011053800,     3286277415.00,          3052800,             6784,             5350
FUTSTK    ,LODHA     ,24/02/2026,00001091.10,00001097.20,00001076.00,00001079.20,000000000134100,       76027095.00,            70200,              156,              152
FUTSTK    ,LT        ,30/12/2025,00004033.60,00004063.40,00004033.60,00004039.80,000000003394650,    10689324957.50,          2640575,            15089,            11518
FUTSTK    ,LT        ,27/01/2026,00004083.70,00004091.00,00004063.10,00004066.20,000000011649575,    11027597805.00,          2706200,            15464,            11984
FUTSTK    ,LT        ,24/02/2026,00004111.60,00004112.00,00004087.70,00004090.50,000000000143325,       70995925.00,            17325,              099,              092
